ChannelName,AdvertiserName,RevenueCode2,OrderNumber,LineNumber,SpotNumber,SpotLength,SpotRate,SpotState,PriorityCode,AirDate,AirTime1,InventoryCodeBooked,PathBooked,InventoryCodePlaced,PathPlaced,TimePeriod,AEFullName,ProductCode,ParentProductCode,DemoCode,BookedRating,BookedImpressions,UnitCode,CPP,TotalEquivSold,EffectiveUnitRate,UnitAirStatusCode,InventoryType
BSWN,Sunset Joren Dealers,National,40000,23,12,30,0.0,Placed,P-09,03/11/2026,14:09:35,ST - SentinelSpringTraining,Sentinels --> ST - SentinelSpringTraining,,,Various,Naomi Foster,AUTOJORN,AUTO,A25-54,0.0,0,Sponsor,,1.0,0.0,Late Add,NM
BSWN,CarMax Direct,National,40001,1,45,30,0.0,Placed,P-19,02/27/2026,12:53:06,ST - SentinelSpringTraining,Sentinels --> ST - SentinelSpringTraining,,,Various,Tyler Brennan,AUTOMALL,AUTO,M25-54,0.0,0,Sponsor,,1.0,0.0,Late Add,NM
BSWN,CarMax Direct,National,40002,8,61,30,0.0,Placed,P-19,03/11/2026,13:22:05,ST - SentinelSpringTraining,Sentinels --> ST - SentinelSpringTraining,,,Various,Tyler Brennan,AUTOMALL,AUTO,M25-54,0.0,0,Sponsor,,1.0,0.0,Late Add,NM
BSWN,Heritage Brewing Co.,Local,40003,1,144,30,0.0,Placed,P-08,03/11/2026,15:06:11,ST - SentinelSpringTraining,Sentinels --> ST - SentinelSpringTraining,,,Various,Tyler Brennan,ALCBEER,ALC_BEV,A25-54,0.0,0,General,,1.0,0.0,Late Add,BK
BSWN,Ironwood Life Insurance,National,40004,1,10,30,0.0,Placed,P-08,02/26/2026,12:59:38,ST - SentinelSpringTraining,Sentinels --> ST - SentinelSpringTraining,,,Various,Marcus Davenport,FINHINS,FINANCE,A18+,0.0,0,General,,1.0,0.0,Late Add,NM
BSWN,Apex Truck Co.,National,40005,2,45,30,0.0,Placed,P-04,04/27/2026,13:35:30,Sentinels Regular Season,Sentinels --> Sentinels Regular Season,,,Various,Naomi Foster,AUTOMALL,AUTO,A18-49,0.0,0,Sponsor,,1.0,0.0,Late Add,NM
BSWN,Chowtown Chicken,National,40006,9,199,15,0.0,Placed,P-09,04/27/2026,14:37:30,Sentinels Regular Season,Sentinels --> Sentinels Regular Season,,,Various,James O'Brien,RESTFAST,REST,A50+,0.0,0,General,,0.5,0.0,Late Add,NM
BSWN,Chowtown Chicken,National,40006,9,201,15,0.0,Placed,P-09,04/27/2026,13:35:00,Sentinels Regular Season,Sentinels --> Sentinels Regular Season,,,Various,James O'Brien,RESTFAST,REST,A50+,0.0,0,General,,0.5,0.0,Late Add,NM
BSWN,Summit Stratton,National,40007,3,70,30,0.0,Placed,P-04,07/09/2026,14:19:27,Sentinels Regular Season,Sentinels --> Sentinels Regular Season,,,Various,Marcus Davenport,AUTOSTRT,AUTO,HH,0.0,0,Sponsor,,1.0,0.0,Late Add,NM
BSWN,Trail Edge Cycles /Repped,National,40008,4,17,30,0.0,Placed,P-09,08/31/2026,15:41:18,Sentinels Regular Season,Sentinels --> Sentinels Regular Season,,,Various,NationalSpot NationalSpot,RTSPORT,RETAIL,HH,0.0,0,Sponsor,,1.0,0.0,Late Add,NM
BSWN,Summit Stratton /Repped,National,40009,4,31,30,0.0,Placed,P-04,09/24/2026,21:47:20,Sentinels Regular Season,Sentinels --> Sentinels Regular Season,,,Various,TristateMedia TristateMedia,AUTOSTRT,AUTO,HH,0.0,0,Sponsor,,1.0,0.0,Late Add,NM
BSWN,Coastline Dermatology,National,40010,5,10,30,0.0,Placed,P-09,04/27/2026,14:53:41,Sentinels Regular Season,Sentinels --> Sentinels Regular Season,,,Various,Olivia Marsh,HCMEDFAC,HLTHCARE,A18-49,0.0,0,General,,1.0,0.0,Late Add,NM
BSWN,Ridgeway Wireless,National,40011,22,71,15,0.0,Placed,P-09,04/06/2026,12:54:45,Sentinels Regular Season,Sentinels --> Sentinels Regular Season,,,Various,Tyler Brennan,TELECOM,ALL Product Codes,A25-54,0.0,0,Sponsor,,0.5,0.0,Late Add,NM
